iter	RMSE
0	16.18204619
1	16.13566581
2	16.05730061
3	15.96774718
4	15.91433086
5	15.8519209
6	15.77504041
7	15.71493997
8	15.64498467
9	15.58945358
10	15.51986648
11	15.46587226
12	15.3866688
13	15.31984397
14	15.26640391
15	15.2287878
16	15.15176138
17	15.07127927
18	15.004278
19	14.9531657
20	14.89183621
21	14.82404123
22	14.79182274
23	14.7215512
24	14.68017496
25	14.63154552
26	14.57248884
27	14.49842479
28	14.42625171
29	14.37560779
30	14.36273179
31	14.31311228
32	14.2701172
33	14.21515283
34	14.16468288
35	14.16069621
36	14.10392754
37	14.05643431
38	13.98846811
39	13.94992435
40	13.94777879
41	13.88872338
42	13.83799593
43	13.77259008
44	13.72750969
45	13.67242553
46	13.61693198
47	13.56628256
48	13.48916783
49	13.43959012
50	13.39227401
51	13.35321967
52	13.29325249
53	13.2589261
54	13.20994508
55	13.15635818
56	13.07743015
57	13.02941751
58	12.9898739
59	12.93333453
60	12.87959015
61	12.80645755
62	12.74123772
63	12.68640728
64	12.65555269
65	12.58508934
66	12.53258843
67	12.49351786
68	12.4545578
69	12.38767988
70	12.35320996
71	12.28677192
72	12.23045712
73	12.18329212
74	12.1207518
75	12.09626252
76	12.05386451
77	12.02422753
78	11.99436202
79	11.94771312
80	11.90418022
81	11.8622724
82	11.8215198
83	11.7882412
84	11.75475272
85	11.69616398
86	11.6857289
87	11.66659144
88	11.62815321
89	11.59507054
90	11.54164903
91	11.49112232
92	11.45941998
93	11.42886961
94	11.3819968
95	11.34729361
96	11.31080508
97	11.27373285
98	11.21880725
99	11.18192941
100	11.12736848
101	11.08520999
102	11.04436098
103	11.02113376
104	10.97705171
105	10.94482014
106	10.90012087
107	10.85318913
108	10.83134178
109	10.78165345
110	10.73153228
111	10.68487355
112	10.64063713
113	10.59447977
114	10.5513412
115	10.50695896
116	10.4580568
117	10.42188042
118	10.40595977
119	10.36656653
120	10.31998849
121	10.28617904
122	10.23174319
123	10.19206456
124	10.16663032
125	10.13304981
126	10.09136859
127	10.0887101
128	10.0412175
129	9.992546265
130	9.947349531
131	9.911053424
132	9.872903877
133	9.833338243
134	9.774651323
135	9.733630175
136	9.718882631
137	9.69487079
138	9.639139837
139	9.619923095
140	9.592093241
141	9.538276889
142	9.507620901
143	9.471885537
144	9.435503284
145	9.38734567
146	9.350169067
147	9.316943298
148	9.267338333
149	9.238561052
150	9.203227831
151	9.174207043
152	9.134250787
153	9.087802556
154	9.047178203
155	8.989935897
156	8.953263577
157	8.920884412
158	8.893772395
159	8.844895928
160	8.817625708
161	8.782122376
162	8.740436272
163	8.705252933
164	8.66353057
165	8.62136964
166	8.589090623
167	8.560841828
168	8.518458268
169	8.47641786
170	8.438381705
171	8.400980013
172	8.357441705
173	8.323069814
174	8.28140003
175	8.253905648
176	8.224678497
177	8.191106598
178	8.154860635
179	8.129293238
180	8.106949016
181	8.083412544
182	8.062263623
183	8.032993928
184	8.023335248
185	7.983574624
186	7.96198544
187	7.939130563
188	7.897991874
189	7.861126123
190	7.823055806
191	7.790531459
192	7.787777741
193	7.752454419
194	7.728491593
195	7.69918482
196	7.685013948
197	7.672934735
198	7.644510091
199	7.60982383
200	7.572491558
201	7.553231293
202	7.52259096
203	7.491037456
204	7.481506192
205	7.437042813
206	7.409396331
207	7.385467248
208	7.358316346
209	7.355973563
210	7.329666081
211	7.316118838
212	7.285644435
213	7.263230522
214	7.230166706
215	7.200663223
216	7.164753189
217	7.13693722
218	7.116127011
219	7.075864954
220	7.051065964
221	7.033876471
222	7.009564774
223	6.988039511
224	6.960124399
225	6.938079828
226	6.913951881
227	6.885889351
228	6.853373554
229	6.838559217
230	6.817998056
231	6.79703786
232	6.769411634
233	6.747479086
234	6.722051078
235	6.715366843
236	6.691278693
237	6.655672121
238	6.653771334
239	6.629887901
240	6.610176737
241	6.577676124
242	6.537020172
243	6.505198694
244	6.481948731
245	6.445691386
246	6.442796896
247	6.409751229
248	6.394510131
249	6.368649739
250	6.348568267
251	6.329209267
252	6.290316354
253	6.260896691
254	6.258036576
255	6.220034332
256	6.193707812
257	6.165153635
258	6.15481377
259	6.131902305
260	6.111284591
261	6.093044338
262	6.056429777
263	6.038287185
264	6.020446636
265	5.993767349
266	5.971735989
267	5.937222153
268	5.909703631
269	5.874411136
270	5.839800803
271	5.800307321
272	5.781481079
273	5.778471622
274	5.756907421
275	5.735876777
276	5.712100039
277	5.680588233
278	5.665466969
279	5.640299316
280	5.623170562
281	5.606824195
282	5.582927593
283	5.566494186
284	5.53376599
285	5.51320139
286	5.493642271
287	5.472159364
288	5.453032643
289	5.450672131
290	5.430878925
291	5.402160397
292	5.365644639
293	5.363356012
294	5.327492364
295	5.306248138
296	5.287645946
297	5.266926266
298	5.24696241
299	5.233669388
300	5.231156673
301	5.216302244
302	5.202074084
303	5.186132829
304	5.166752556
305	5.153934697
306	5.134782176
307	5.132395391
308	5.130034227
309	5.111442491
310	5.097706786
311	5.095417606
312	5.081480622
313	5.06343328
314	5.050197186
315	5.03262945
316	5.014803494
317	5.010300301
318	4.993226091
319	4.988875725
320	4.971448955
321	4.969334272
322	4.967249196
323	4.952439697
324	4.935944554
325	4.919877218
326	4.904226646
327	4.891933132
328	4.876662529
329	4.864543357
330	4.851981112
331	4.847926944
332	4.843987968
333	4.82509801
334	4.813220063
335	4.798497614
336	4.794707755
337	4.776370982
338	4.75836392
339	4.744201389
340	4.730393063
341	4.712842992
342	4.684685656
343	4.672692404
344	4.66092836
345	4.644370572
346	4.632783977
347	4.621385034
348	4.606662341
349	4.602997332
350	4.586821102
351	4.577855957
352	4.574317434
353	4.558538759
354	4.541875536
355	4.533125449
356	4.524566063
357	4.499147552
358	4.490809222
359	4.462664867
360	4.427397979
361	4.401568297
362	4.376217107
363	4.358301655
364	4.324356665
365	4.316327735
366	4.313213223
367	4.28860349
368	4.264435389
369	4.254550365
370	4.237212703
371	4.23569637
372	4.234201455
373	4.201737536
374	4.178268855
375	4.168680237
376	4.159798352
377	4.128313268
378	4.105463606
379	4.09678364
380	4.0910009
381	4.06949553
382	4.049117566
383	4.043401543
384	4.013335227
385	4.007735868
386	3.985975468
387	3.980449807
388	3.966254866
389	3.937173925
390	3.917860132
391	3.896961615
392	3.891515801
393	3.886149227
394	3.867331886
395	3.839553611
396	3.819354071
397	3.814065874
398	3.808853845
399	3.789006509
400	3.783861869
401	3.778791245
402	3.760840848
403	3.74212416
404	3.737096567
405	3.719596348
406	3.700633696
407	3.691816375
408	3.686257096
409	3.677706392
410	3.664883274
411	3.646802503
412	3.625745764
413	3.620244973
414	3.602085492
415	3.59434839
416	3.588911339
417	3.568487554
418	3.556919317
419	3.549263288
420	3.529233228
421	3.520735793
422	3.501080762
423	3.486037543
424	3.474960837
425	3.464187818
426	3.453710102
427	3.44555296
428	3.435396285
429	3.425517911
430	3.41830486
431	3.408756392
432	3.401792606
433	3.392562256
434	3.383584846
435	3.365486599
436	3.349849878
437	3.334542799
438	3.319557387
439	3.304885864
440	3.290520649
441	3.276454349
442	3.262679756
443	3.249189847
444	3.235977773
445	3.223036862
446	3.210360608
447	3.197942674
448	3.185776883
449	3.173857217
450	3.162177812
451	3.150719413
452	3.139521999
453	3.127309389
454	3.116494091
455	3.115670892
456	3.105109956
457	3.100353605
458	3.092049081
459	3.091245134
460	3.090452152
461	3.082255658
462	3.081472771
463	3.080700572
464	3.072610499
465	3.071848035
466	3.060403096
467	3.052461374
468	3.051713457
469	3.043875452
470	3.04313687
471	3.033203388
472	3.032481352
473	3.021559831
474	3.013904641
475	3.013196288
476	3.005641071
477	3.001956199
478	2.99451416
479	2.990960372
480	2.983629098
481	2.972812783
482	2.958766937
483	2.948170012
484	2.937777694
485	2.925258984
486	2.91813256
487	2.908848708
488	2.898283799
489	2.88898128
490	2.874226941
491	2.865320633
492	2.855117619
493	2.846175636
494	2.829003122
495	2.822206271
496	2.813669503
497	2.796823907
498	2.786743034
499	2.778336157
500	2.770087963
501	2.764240655
502	2.750932043
503	2.745173874
504	2.739506653
505	2.731379529
506	2.725801144
507	2.720310547
508	2.714906152
509	2.698711563
510	2.690775042
511	2.681798256
512	2.676487879
513	2.671260523
514	2.655441638
515	2.640417509
516	2.631347159
517	2.626223392
518	2.621179075
519	2.616212807
520	2.611804241
521	2.607456845
522	2.599934765
523	2.595648762
