iter	Passed	Remaining
0	3	3036
1	4	2440
2	8	2697
3	10	2500
4	11	2370
5	13	2270
6	15	2206
7	17	2160
8	19	2113
9	20	2017
10	22	2014
11	24	1993
12	28	2129
13	29	2106
14	31	2093
15	33	2066
16	38	2210
17	40	2187
18	41	2165
19	43	2141
20	45	2108
21	46	2083
22	48	2073
23	51	2075
24	52	2066
25	54	2046
26	56	2037
27	58	2028
28	60	2021
29	62	2009
30	64	2017
31	66	2005
32	68	2001
33	70	2015
34	72	2002
35	74	2001
36	76	1996
37	79	2007
38	81	2008
39	83	2000
40	85	1993
41	86	1979
42	88	1975
43	90	1969
44	92	1968
45	94	1967
46	96	1950
47	98	1946
48	100	1941
49	102	1943
50	103	1934
51	105	1922
52	107	1918
53	109	1914
54	112	1932
55	114	1928
56	116	1927
57	118	1921
58	120	1921
59	122	1919
60	124	1914
61	126	1911
62	128	1909
63	130	1903
64	131	1898
65	133	1894
66	136	1894
67	137	1889
68	139	1883
69	141	1886
70	144	1885
71	145	1877
72	147	1871
73	149	1874
74	151	1871
75	155	1887
76	157	1885
77	159	1882
78	161	1880
79	164	1894
80	166	1889
81	168	1886
82	170	1882
83	172	1876
84	174	1873
85	176	1871
86	178	1871
87	180	1869
88	182	1864
89	184	1862
90	186	1858
91	188	1855
92	189	1843
93	190	1840
94	193	1840
95	194	1834
96	196	1827
97	198	1826
98	200	1822
99	202	1818
100	203	1814
101	206	1816
102	208	1812
103	210	1810
104	212	1808
105	214	1806
106	215	1802
107	217	1798
108	219	1797
109	222	1801
110	224	1798
111	225	1791
112	227	1789
113	229	1787
114	231	1784
115	234	1786
116	236	1784
117	238	1782
118	240	1781
119	242	1781
120	244	1778
121	246	1775
122	249	1777
123	251	1776
124	253	1774
125	256	1780
126	258	1777
127	260	1774
128	263	1778
129	265	1778
130	267	1777
131	270	1780
132	273	1781
133	275	1783
134	278	1783
135	280	1782
136	282	1780
137	284	1779
138	287	1782
139	290	1782
140	291	1775
141	294	1777
142	297	1779
143	299	1778
144	310	1828
145	315	1846
146	318	1848
147	325	1872
148	328	1874
149	331	1880
150	335	1887
151	337	1885
152	384	2130
153	387	2127
154	393	2146
155	426	2307
156	435	2339
157	437	2333
158	440	2331
159	442	2324
160	444	2318
161	447	2315
162	449	2308
163	451	2303
164	453	2296
165	457	2298
166	484	2416
167	487	2413
168	490	2411
169	494	2416
170	497	2410
171	501	2414
172	504	2409
173	506	2404
174	510	2406
175	529	2480
176	533	2478
177	543	2511
178	546	2507
179	549	2503
180	552	2499
181	555	2498
182	558	2493
183	560	2487
184	565	2491
185	567	2485
186	570	2479
187	573	2477
188	577	2475
189	580	2476
190	588	2492
191	590	2487
192	593	2483
193	596	2479
194	598	2472
195	601	2467
196	609	2484
197	612	2482
198	615	2478
199	618	2474
200	621	2471
201	624	2465
202	626	2458
203	628	2452
204	631	2447
205	633	2440
206	636	2440
207	639	2435
208	641	2429
209	644	2422
210	646	2417
211	649	2414
212	651	2408
213	654	2403
214	657	2399
215	659	2393
216	661	2386
217	663	2381
218	666	2376
219	668	2369
220	670	2363
221	672	2356
222	675	2352
223	677	2348
224	679	2341
225	682	2335
226	684	2329
227	686	2323
228	688	2318
229	691	2313
230	694	2312
231	698	2312
232	701	2307
233	703	2303
234	705	2298
235	709	2295
236	712	2292
237	714	2286
238	716	2281
239	720	2280
240	722	2276
241	725	2271
242	727	2266
243	729	2260
244	732	2255
245	735	2253
246	737	2247
247	740	2244
248	742	2239
249	744	2234
250	746	2228
251	749	2224
252	751	2219
253	753	2213
254	755	2208
255	757	2202
256	760	2197
257	762	2194
258	765	2189
259	767	2184
260	769	2178
261	771	2172
262	774	2170
263	776	2165
264	778	2159
265	781	2155
266	784	2152
267	786	2148
268	788	2142
269	791	2138
270	792	2132
271	794	2127
272	796	2122
273	799	2118
274	801	2113
275	803	2109
276	805	2103
277	808	2099
278	810	2093
279	812	2088
280	813	2082
281	816	2079
282	818	2074
283	820	2069
284	822	2064
285	825	2061
286	828	2058
287	831	2054
288	833	2050
289	835	2045
290	837	2040
291	839	2034
292	840	2028
293	842	2024
294	845	2019
295	847	2015
296	849	2010
297	852	2008
298	855	2004
299	857	2000
300	860	1997
301	862	1992
302	863	1987
303	867	1985
304	869	1981
305	872	1978
306	876	1978
307	878	1974
308	880	1969
309	882	1964
310	884	1960
311	886	1955
312	889	1952
313	891	1947
314	893	1944
315	896	1939
316	898	1935
317	900	1930
318	904	1930
319	906	1925
320	908	1920
321	910	1916
322	912	1911
323	913	1906
324	916	1903
325	920	1903
326	922	1898
327	924	1894
328	927	1890
329	929	1887
330	932	1884
331	934	1881
332	937	1877
333	939	1873
334	942	1871
335	946	1869
336	948	1865
337	950	1862
338	953	1858
339	955	1853
340	956	1849
341	959	1846
342	962	1843
343	964	1838
344	966	1834
345	968	1830
346	970	1826
347	973	1824
348	976	1821
349	978	1817
350	980	1813
351	982	1809
352	985	1805
353	987	1802
354	990	1799
355	992	1795
356	994	1791
357	996	1787
358	999	1784
359	1002	1781
360	1004	1778
361	1006	1774
362	1008	1769
363	1010	1765
364	1013	1762
365	1015	1758
366	1018	1757
367	1021	1753
368	1023	1749
369	1025	1746
370	1027	1742
371	1030	1740
372	1033	1736
373	1035	1732
374	1037	1728
375	1041	1727
376	1049	1733
377	1051	1729
378	1053	1726
379	1056	1723
380	1058	1720
381	1061	1716
382	1063	1712
383	1065	1709
384	1067	1705
385	1070	1703
386	1074	1702
387	1077	1698
388	1078	1694
389	1081	1691
390	1083	1688
391	1086	1684
392	1089	1682
393	1091	1679
394	1094	1675
395	1096	1672
396	1099	1669
397	1101	1666
398	1103	1662
399	1106	1660
400	1108	1656
401	1110	1652
402	1112	1648
403	1115	1645
404	1117	1642
405	1119	1638
406	1122	1635
407	1124	1631
408	1126	1627
409	1128	1624
410	1131	1621
411	1133	1617
412	1135	1613
413	1137	1609
414	1139	1605
415	1141	1602
416	1143	1598
417	1145	1595
418	1148	1591
419	1150	1588
420	1152	1584
421	1154	1581
422	1157	1578
423	1159	1575
424	1161	1571
425	1163	1568
426	1166	1564
427	1168	1561
428	1170	1557
429	1173	1555
430	1175	1551
431	1177	1547
432	1179	1544
433	1181	1540
434	1183	1537
435	1185	1533
436	1188	1530
437	1190	1527
438	1192	1523
439	1194	1520
440	1196	1516
441	1198	1513
442	1201	1510
443	1203	1506
444	1205	1503
445	1207	1500
446	1209	1496
447	1211	1493
448	1220	1498
449	1225	1497
450	1227	1494
451	1230	1491
452	1232	1488
453	1234	1485
454	1237	1481
455	1239	1478
456	1241	1475
457	1244	1472
458	1246	1469
459	1248	1465
460	1251	1462
461	1253	1459
462	1255	1456
463	1258	1453
464	1260	1450
465	1263	1447
466	1265	1444
467	1268	1442
468	1271	1439
469	1273	1436
470	1275	1432
471	1278	1429
472	1280	1426
473	1282	1423
474	1284	1420
475	1287	1417
476	1289	1414
477	1291	1410
478	1294	1407
479	1296	1404
480	1298	1400
481	1300	1397
482	1303	1394
483	1305	1391
484	1306	1387
485	1309	1384
486	1311	1381
487	1313	1378
488	1316	1375
489	1318	1372
490	1320	1369
491	1322	1365
492	1325	1362
493	1327	1359
494	1329	1356
495	1332	1353
496	1334	1350
497	1336	1347
498	1338	1344
499	1341	1341
500	1343	1338
501	1345	1335
502	1348	1332
503	1350	1328
504	1352	1325
505	1354	1322
506	1357	1319
507	1359	1316
508	1361	1313
509	1363	1310
510	1366	1307
511	1368	1304
512	1371	1301
513	1373	1298
514	1375	1295
515	1378	1292
516	1380	1289
517	1382	1286
518	1385	1283
519	1387	1281
520	1390	1278
521	1392	1274
522	1394	1271
523	1396	1268
524	1401	1268
525	1408	1269
526	1412	1268
527	1415	1265
528	1417	1261
529	1419	1258
530	1421	1255
531	1424	1252
532	1426	1249
533	1428	1246
534	1430	1243
535	1433	1240
536	1435	1237
537	1437	1234
538	1439	1231
539	1442	1229
540	1444	1225
541	1447	1222
542	1449	1219
543	1451	1216
544	1453	1213
